Customer_ID,Customer_Name,Segment,City,State,Country,Postal_Code,Market,Region,Ingestion_Date
TB-21625,Trudy Brown,Consumer,Yangon,Yangon,Myanmar (Burma),0,APAC,Southeast Asia,2025-07-06
SC-10845,Sung Chung,Consumer,Kryvyy Rih,Dnipropetrovs'k,Ukraine,0,EMEA,EMEA,2025-07-06
NR-18550,Nick Radford,Consumer,Pembroke Pines,Florida,United States,33024,US,South,2025-07-06
TS-21160,Theresa Swint,Corporate,Wagga Wagga,New South Wales,Australia,0,APAC,Oceania,2025-07-06
JM-5535,Jessica Myrick,Consumer,Astana,Astana,Kazakhstan,0,EMEA,EMEA,2025-07-06
SC-10260,Scott Cohen,Corporate,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
DR-2940,Daniel Raglin,Home Office,Algiers,Alger,Algeria,0,Africa,Africa,2025-07-06
MP-17470,Mark Packer,Home Office,S�o Paulo,S�o Paulo,Brazil,0,LATAM,South,2025-07-06
AF-885,Art Foster,Consumer,Buzau,Buzau,Romania,0,EMEA,EMEA,2025-07-06
TB-11355,Todd Boyes,Corporate,Ankara,Ankara,Turkey,0,EMEA,EMEA,2025-07-06
KH-6510,Keith Herrera,Consumer,Alexandria,Al Iskandariyah,Egypt,0,Africa,Africa,2025-07-06
FM-4290,Frank Merwin,Home Office,Kano,Kano,Nigeria,0,Africa,Africa,2025-07-06
NS-8640,Noel Staavos,Corporate,Lome,Maritime,Togo,0,Africa,Africa,2025-07-06
PF-9165,Philip Fox,Consumer,Boghni,Tizi Ouzou,Algeria,0,Africa,Africa,2025-07-06
TD-10995,Tamara Dahlen,Consumer,Izmir,Izmir,Turkey,0,EMEA,EMEA,2025-07-06
RD-19810,Ross DeVincentis,Home Office,Leverkusen,North Rhine-Westphalia,Germany,0,EU,Central,2025-07-06
CM-12115,Chad McGuire,Consumer,Ho Chi Minh City,Ho Ch� Minh City,Vietnam,0,APAC,Southeast Asia,2025-07-06
DP-3390,Dennis Pardue,Home Office,Rasht,Gilan,Iran,0,EMEA,EMEA,2025-07-06
NM-8445,Nathan Mautz,Home Office,Pila,Greater Poland,Poland,0,EMEA,EMEA,2025-07-06
MC-7845,Michael Chen,Consumer,Katowice,Silesia,Poland,0,EMEA,EMEA,2025-07-06
KN-16705,Kristina Nunn,Home Office,New Rochelle,New York,United States,10801,US,East,2025-07-06
JO-15280,Jas O'Carroll,Consumer,Villa Nueva,Guatemala,Guatemala,0,LATAM,Central,2025-07-06
JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,0,LATAM,South,2025-07-06
AC-10660,Anna Chung,Consumer,Duque de Caxias,Rio de Janeiro,Brazil,0,LATAM,South,2025-07-06
RL-9615,Rob Lucas,Consumer,Donets'k,Donetsk,Ukraine,0,EMEA,EMEA,2025-07-06
AH-30,Aaron Hawkins,Corporate,Kryvyy Rih,Dnipropetrovs'k,Ukraine,0,EMEA,EMEA,2025-07-06
HG-15025,Hunter Glantz,Consumer,Tegucigalpa,Francisco Moraz�n,Honduras,0,LATAM,Central,2025-07-06
KA-6525,Kelly Andreada,Consumer,Polatsk,Vitsyebsk,Belarus,0,EMEA,EMEA,2025-07-06
TS-11505,Tony Sayre,Consumer,Kano,Kano,Nigeria,0,Africa,Africa,2025-07-06
JH-5820,John Huston,Consumer,Ardabil,Ardabil,Iran,0,EMEA,EMEA,2025-07-06
CS-2505,Cindy Stewart,Consumer,Kitwe,Copperbelt,Zambia,0,Africa,Africa,2025-07-06
AB-600,Ann Blume,Corporate,Sale,Rabat-Sal�-Zemmour-Zaer,Morocco,0,Africa,Africa,2025-07-06
BP-1155,Becky Pak,Consumer,Gdansk,Pomerania,Poland,0,EMEA,EMEA,2025-07-06
EM-4200,Evan Minnotte,Home Office,Sale,Rabat-Sal�-Zemmour-Zaer,Morocco,0,Africa,Africa,2025-07-06
NS-18640,Noel Staavos,Corporate,Managua,Managua,Nicaragua,0,LATAM,Central,2025-07-06
EG-3900,Emily Grady,Consumer,Annaba,Annaba,Algeria,0,Africa,Africa,2025-07-06
JW-16075,Julia West,Consumer,Saint-Cyr-sur-Loire,Centre,France,0,EU,Central,2025-07-06
CC-2145,Charles Crestani,Consumer,Nairobi,Nairobi,Kenya,0,Africa,Africa,2025-07-06
RS-9765,Roland Schwarz,Corporate,Kalush,Ivano-Frankivsk,Ukraine,0,EMEA,EMEA,2025-07-06
BT-1530,Bradley Talbott,Home Office,North York,Ontario,Canada,0,Canada,Canada,2025-07-06
RD-19480,Rick Duston,Consumer,Zapopan,Jalisco,Mexico,0,LATAM,North,2025-07-06
CL-12565,Clay Ludtke,Consumer,Santiago,Santiago,Chile,0,LATAM,South,2025-07-06
DC-12850,Dan Campbell,Consumer,Tlalpan,Distrito Federal,Mexico,0,LATAM,North,2025-07-06
BF-1170,Ben Ferrer,Home Office,Katowice,Silesia,Poland,0,EMEA,EMEA,2025-07-06
HR-4830,Harold Ryan,Corporate,Izmir,Izmir,Turkey,0,EMEA,EMEA,2025-07-06
BT-1305,Beth Thompson,Home Office,Bulawayo,Bulawayo,Zimbabwe,0,Africa,Africa,2025-07-06
SA-20830,Sue Ann Reed,Consumer,Vienna,Vienna,Austria,0,EU,Central,2025-07-06
TT-11460,Tonja Turnell,Home Office,Dar es Salaam,Dar Es Salaam,Tanzania,0,Africa,Africa,2025-07-06
MH-18025,Michelle Huthwaite,Consumer,Knoxville,Tennessee,United States,37918,US,South,2025-07-06
LC-16960,Lindsay Castell,Home Office,Carcassonne,Languedoc-Roussillon,France,0,EU,Central,2025-07-06
NW-8400,Natalie Webber,Consumer,Gaziantep,Gaziantep,Turkey,0,EMEA,EMEA,2025-07-06
RF-9840,Roy Franz�sisch,Consumer,Kano,Kano,Nigeria,0,Africa,Africa,2025-07-06
LP-17095,Liz Preis,Consumer,Petapa,Guatemala,Guatemala,0,LATAM,Central,2025-07-06
PL-8925,Paul Lucas,Home Office,Nairobi,Nairobi,Kenya,0,Africa,Africa,2025-07-06
AF-10870,Art Ferguson,Consumer,Passaic,New Jersey,United States,7055,US,East,2025-07-06
RC-19960,Ryan Crowe,Consumer,Sorocaba,S�o Paulo,Brazil,0,LATAM,South,2025-07-06
FH-14365,Fred Hopkins,Corporate,Le�n,Le�n,Nicaragua,0,LATAM,Central,2025-07-06
MM-8055,Michelle Moray,Consumer,Yazd,Yazd,Iran,0,EMEA,EMEA,2025-07-06
JM-15250,Janet Martin,Consumer,Ranchi,Jharkhand,India,0,APAC,Central Asia,2025-07-06
MD-7350,Maribeth Dona,Consumer,Sari,Mazandaran,Iran,0,EMEA,EMEA,2025-07-06
AA-480,Andrew Allen,Consumer,Kuito,Bie,Angola,0,Africa,Africa,2025-07-06
SJ-10215,Sarah Jordon,Consumer,K'ut'aisi,Imereti,Georgia,0,EMEA,EMEA,2025-07-06
MG-8145,Mike Gockenbach,Consumer,Lubumbashi,Katanga,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
TC-20980,Tamara Chand,Corporate,Chinautla,Guatemala,Guatemala,0,LATAM,Central,2025-07-06
SV-20785,Stewart Visinsky,Consumer,Santa Ana,California,United States,92704,US,West,2025-07-06
DL-13330,Denise Leinenbach,Consumer,Wagga Wagga,New South Wales,Australia,0,APAC,Oceania,2025-07-06
LH-16750,Larry Hughes,Consumer,Salvador,Bahia,Brazil,0,LATAM,South,2025-07-06
AS-240,Alan Shonely,Consumer,Vaughan,Ontario,Canada,0,Canada,Canada,2025-07-06
BM-1785,Bryan Mills,Consumer,Abu Kabir,Ash Sharqiyah,Egypt,0,Africa,Africa,2025-07-06
QJ-9255,Quincy Jones,Corporate,Izmir,Izmir,Turkey,0,EMEA,EMEA,2025-07-06
NF-18475,Neil Franz�sisch,Home Office,Velsen,North Holland,Netherlands,0,EU,Central,2025-07-06
DK-3225,Dean Katz,Corporate,Luanda,Luanda,Angola,0,Africa,Africa,2025-07-06
JH-5430,Jennifer Halladay,Consumer,Cairo,Al Qahirah,Egypt,0,Africa,Africa,2025-07-06
SC-10095,Sanjit Chand,Consumer,Mosul,Ninawa,Iraq,0,EMEA,EMEA,2025-07-06
LH-17155,Logan Haushalter,Consumer,Varanasi,Uttar Pradesh,India,0,APAC,Central Asia,2025-07-06
MH-8115,Mick Hernandez,Home Office,Bo,Southern,Sierra Leone,0,Africa,Africa,2025-07-06
RB-19360,Raymond Buch,Consumer,Sydney,New South Wales,Australia,0,APAC,Oceania,2025-07-06
FC-4245,Frank Carlisle,Home Office,Antananarivo,Analamanga,Madagascar,0,Africa,Africa,2025-07-06
DO-3645,Doug O'Connell,Consumer,Calgary,Alberta,Canada,0,Canada,Canada,2025-07-06
LC-16885,Lena Creighton,Consumer,Six-Fours-les-Plages,Provence-Alpes-C�te d'Azur,France,0,EU,Central,2025-07-06
MS-7710,Maurice Satty,Consumer,Baghdad,Baghdad,Iraq,0,EMEA,EMEA,2025-07-06
BB-11545,Brenda Bowman,Corporate,Townsville,Queensland,Australia,0,APAC,Oceania,2025-07-06
EH-3765,Edward Hooks,Corporate,Kano,Kano,Nigeria,0,Africa,Africa,2025-07-06
JK-5730,Joe Kamberova,Consumer,Vladimir,Vladimir,Russia,0,EMEA,EMEA,2025-07-06
BS-11365,Bill Shonely,Corporate,Americana,S�o Paulo,Brazil,0,LATAM,South,2025-07-06
JD-6060,Julia Dunbar,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
IG-15085,Ivan Gibson,Consumer,Beijing,Beijing,China,0,APAC,North Asia,2025-07-06
EB-4110,Eugene Barchas,Consumer,Orsha,Vitsyebsk,Belarus,0,EMEA,EMEA,2025-07-06
CM-11935,Carlos Meador,Consumer,Shizuishan,Ningxia,China,0,APAC,North Asia,2025-07-06
MA-7560,Matt Abelman,Home Office,Mamak,Ankara,Turkey,0,EMEA,EMEA,2025-07-06
KH-16690,Kristen Hastings,Corporate,Villeneuve-d'Ascq,Nord-Pas-de-Calais,France,0,EU,Central,2025-07-06
EM-14065,Erin Mull,Consumer,Bremen,Bremen,Germany,0,EU,Central,2025-07-06
KW-6570,Kelly Williams,Consumer,Brasov,Brasov,Romania,0,EMEA,EMEA,2025-07-06
SG-20080,Sandra Glassco,Consumer,Pinar del R�o,Pinar del R�o,Cuba,0,LATAM,Caribbean,2025-07-06
SA-10830,Sue Ann Reed,Consumer,Bandirma,Balikesir,Turkey,0,EMEA,EMEA,2025-07-06
RB-9570,Rob Beeghly,Consumer,Algiers,Alger,Algeria,0,Africa,Africa,2025-07-06
EH-14125,Eugene Hildebrand,Home Office,Marano di Napoli,Campania,Italy,0,EU,South,2025-07-06
AH-10690,Anna H�berlin,Corporate,Neunkirchen,Saarland,Germany,0,EU,Central,2025-07-06
SV-10365,Seth Vernon,Consumer,Ramat Aviv,Tel Aviv,Israel,0,EMEA,EMEA,2025-07-06
TN-21040,Tanja Norvell,Home Office,Hyderabad,Sindh,Pakistan,0,APAC,Central Asia,2025-07-06
GA-14515,George Ashbrook,Consumer,San Francisco,California,United States,94122,US,West,2025-07-06
SG-10605,Speros Goranitis,Consumer,Ankara,Ankara,Turkey,0,EMEA,EMEA,2025-07-06
RF-19735,Roland Fjeld,Consumer,Sydney,New South Wales,Australia,0,APAC,Oceania,2025-07-06
KD-16615,Ken Dana,Corporate,Suzhou,Anhui,China,0,APAC,North Asia,2025-07-06
SB-10170,Sarah Bern,Consumer,Sincan,Ankara,Turkey,0,EMEA,EMEA,2025-07-06
EJ-13720,Ed Jacobs,Consumer,Los Angeles,California,United States,90008,US,West,2025-07-06
CR-12580,Clay Rozendal,Home Office,Stuttgart,Baden-W�rttemberg,Germany,0,EU,Central,2025-07-06
DJ-13510,Don Jones,Corporate,Tlaquepaque,Jalisco,Mexico,0,LATAM,North,2025-07-06
JG-15310,Jason Gross,Corporate,San Salvador,San Salvador,El Salvador,0,LATAM,Central,2025-07-06
DP-13390,Dennis Pardue,Home Office,North Las Vegas,Nevada,United States,89031,US,West,2025-07-06
DH-3075,Dave Hallsten,Corporate,Mombasa,Coast,Kenya,0,Africa,Africa,2025-07-06
AR-570,Anemone Ratner,Consumer,Klaipeda,Klaipeda,Lithuania,0,EMEA,EMEA,2025-07-06
YC-11895,Yoseph Carroll,Corporate,Edmonton,Alberta,Canada,0,Canada,Canada,2025-07-06
KW-16435,Katrina Willman,Consumer,Chihuahua,Chihuahua,Mexico,0,LATAM,North,2025-07-06
JR-5700,Jocasta Rupert,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
JO-5550,Jesus Ocampo,Home Office,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
LH-16900,Lena Hernandez,Consumer,Greenville,North Carolina,United States,27834,US,South,2025-07-06
CB-12535,Claudia Bergmann,Corporate,Camarillo,California,United States,93010,US,West,2025-07-06
KC-16675,Kimberly Carter,Corporate,S�o Paulo,S�o Paulo,Brazil,0,LATAM,South,2025-07-06
ND-18370,Natalie DeCherney,Consumer,Chetumal,Quintana Roo,Mexico,0,LATAM,North,2025-07-06
PF-19225,Phillip Flathmann,Consumer,Reynosa,Tamaulipas,Mexico,0,LATAM,North,2025-07-06
AD-10180,Alan Dominguez,Home Office,Puyang,Henan,China,0,APAC,North Asia,2025-07-06
LP-7080,Liz Pelletier,Consumer,Rabat,Rabat-Sal�-Zemmour-Zaer,Morocco,0,Africa,Africa,2025-07-06
HG-14845,Harry Greene,Consumer,Manzanillo,Granma,Cuba,0,LATAM,Caribbean,2025-07-06
JE-15715,Joe Elijah,Consumer,Bundaberg,Queensland,Australia,0,APAC,Oceania,2025-07-06
FP-4320,Frank Preis,Consumer,Soweto,Gauteng,South Africa,0,Africa,Africa,2025-07-06
VP-11760,Victoria Pisteka,Corporate,Arusha,Arusha,Tanzania,0,Africa,Africa,2025-07-06
SC-10020,Sam Craven,Consumer,Timisoara,Timis,Romania,0,EMEA,EMEA,2025-07-06
JD-15790,John Dryer,Consumer,Jinan,Shandong,China,0,APAC,North Asia,2025-07-06
CS-1845,Cari Sayre,Corporate,Casablanca,Grand Casablanca,Morocco,0,Africa,Africa,2025-07-06
NK-18490,Neil Knudson,Home Office,Villa Nueva,Guatemala,Guatemala,0,LATAM,Central,2025-07-06
PA-9060,Pete Armstrong,Home Office,Baghdad,Baghdad,Iraq,0,EMEA,EMEA,2025-07-06
EH-4125,Eugene Hildebrand,Home Office,Pretoria,Gauteng,South Africa,0,Africa,Africa,2025-07-06
AG-270,Alejandro Grove,Consumer,Tamale,Northern,Ghana,0,Africa,Africa,2025-07-06
AC-10450,Amy Cox,Consumer,Duisburg,North Rhine-Westphalia,Germany,0,EU,Central,2025-07-06
LH-7155,Logan Haushalter,Consumer,Mississauga,Ontario,Canada,0,Canada,Canada,2025-07-06
DP-3105,Dave Poirier,Corporate,Bertoua,Est,Cameroon,0,Africa,Africa,2025-07-06
DP-3000,Darren Powers,Consumer,Nazilli,Aydin,Turkey,0,EMEA,EMEA,2025-07-06
JC-15385,Jenna Caffey,Consumer,David,Chiriqu�,Panama,0,LATAM,Central,2025-07-06
AS-10240,Alan Shonely,Consumer,Los Angeles,California,United States,90049,US,West,2025-07-06
SM-20950,Suzanne McNair,Corporate,Luoyang,Guangdong,China,0,APAC,North Asia,2025-07-06
PJ-19015,Pauline Johnson,Consumer,Col�n,Col�n,Panama,0,LATAM,Central,2025-07-06
AH-10465,Amy Hunt,Consumer,Soyapango,San Salvador,El Salvador,0,LATAM,Central,2025-07-06
GT-4635,Grant Thornton,Corporate,Khartoum,Khartoum,Sudan,0,Africa,Africa,2025-07-06
SP-10650,Stephanie Phelps,Corporate,Funtua,Katsina,Nigeria,0,Africa,Africa,2025-07-06
SC-20440,Shaun Chance,Corporate,Bracknell,England,United Kingdom,0,EU,North,2025-07-06
RR-19525,Rick Reed,Corporate,Nueva Gerona,Isla de la Juventud,Cuba,0,LATAM,Caribbean,2025-07-06
JW-6075,Julia West,Consumer,Lusaka,Lusaka,Zambia,0,Africa,Africa,2025-07-06
LL-16840,Lauren Leatherbury,Consumer,Mar del Plata,Provincia de Buenos Aires,Argentina,0,LATAM,South,2025-07-06
MF-17665,Maureen Fritzler,Corporate,Chaoyang,Jilin,China,0,APAC,North Asia,2025-07-06
BG-1035,Barry Gonzalez,Consumer,Panevezys,Panevezys,Lithuania,0,EMEA,EMEA,2025-07-06
DK-13375,Dennis Kane,Consumer,Muret,Midi-Pyr�n�es,France,0,EU,Central,2025-07-06
AC-10615,Ann Chong,Corporate,Brisbane,Queensland,Australia,0,APAC,Oceania,2025-07-06
PB-8805,Patrick Bzostek,Home Office,North York,Ontario,Canada,0,Canada,Canada,2025-07-06
DK-2985,Darren Koutras,Consumer,Kano,Kano,Nigeria,0,Africa,Africa,2025-07-06
JE-6165,Justin Ellison,Corporate,Lagos,Lagos,Nigeria,0,Africa,Africa,2025-07-06
JS-6030,Joy Smith,Consumer,Yaounde,Centre,Cameroon,0,Africa,Africa,2025-07-06
RH-9510,Rick Huthwaite,Home Office,Gagnoa,Fromager,Cote d'Ivoire,0,Africa,Africa,2025-07-06
DM-13525,Don Miller,Corporate,Pirapora,Minas Gerais,Brazil,0,LATAM,South,2025-07-06
JB-6045,Julia Barnett,Home Office,Mosul,Ninawa,Iraq,0,EMEA,EMEA,2025-07-06
GM-14440,Gary McGarr,Consumer,Seoul,Seoul,South Korea,0,APAC,North Asia,2025-07-06
SN-20710,Steve Nguyen,Home Office,Covington,Washington,United States,98042,US,West,2025-07-06
SC-20725,Steven Cartwright,Consumer,Changzhou,Jiangsu,China,0,APAC,North Asia,2025-07-06
BP-1185,Ben Peterman,Corporate,Manisa,Manisa,Turkey,0,EMEA,EMEA,2025-07-06
HL-5040,Hunter Lopez,Consumer,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
HM-4980,Henry MacAllister,Consumer,Kindu,Maniema,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
DM-2955,Dario Medina,Corporate,Mississauga,Ontario,Canada,0,Canada,Canada,2025-07-06
HJ-4875,Heather Jas,Home Office,Luanda,Luanda,Angola,0,Africa,Africa,2025-07-06
VM-21685,Valerie Mitchum,Home Office,Visakhapatnam,Andhra Pradesh,India,0,APAC,Central Asia,2025-07-06
JL-5835,John Lee,Consumer,Enugu,Enugu,Nigeria,0,Africa,Africa,2025-07-06
XP-11865,Xylona Preis,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,0,Africa,Africa,2025-07-06
EB-3750,Edward Becker,Corporate,Antakya,Hatay,Turkey,0,EMEA,EMEA,2025-07-06
WB-11850,William Brown,Consumer,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
DN-3690,Duane Noonan,Consumer,Eskisehir,Eskisehir,Turkey,0,EMEA,EMEA,2025-07-06
RM-9375,Raymond Messe,Consumer,Luanda,Luanda,Angola,0,Africa,Africa,2025-07-06
SE-10110,Sanjit Engle,Consumer,Mbuji-mayi,Kasai-Oriental,Democratic Republic of the Congo,0,Africa,Africa,2025-07-06
SR-10425,Sharelle Roach,Home Office,Westonaria,Gauteng,South Africa,0,Africa,Africa,2025-07-06
DJ-13630,Doug Jacobs,Consumer,Digne-les-Bains,Provence-Alpes-C�te d'Azur,France,0,EU,Central,2025-07-06
CC-12670,Craig Carreira,Consumer,Santa Ana,Santa Ana,El Salvador,0,LATAM,Central,2025-07-06
PM-9135,Peter McVee,Home Office,Bafra,Samsun,Turkey,0,EMEA,EMEA,2025-07-06
DL-3495,Dionis Lloyd,Corporate,Benin City,Edo,Nigeria,0,Africa,Africa,2025-07-06
ZC-11910,Zuschuss Carroll,Consumer,Maiduguri,Borno,Nigeria,0,Africa,Africa,2025-07-06
MM-17920,Michael Moore,Consumer,Birmingham,England,United Kingdom,0,EU,North,2025-07-06
DB-3660,Duane Benoit,Consumer,Istanbul,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
EJ-14155,Eva Jacobs,Consumer,Ajaccio,Corsica,France,0,EU,Central,2025-07-06
TS-11430,Tom Stivers,Corporate,Sabzevar,Razavi Khorasan,Iran,0,EMEA,EMEA,2025-07-06
MM-18280,Muhammed MacIntyre,Corporate,New York City,New York,United States,10035,US,East,2025-07-06
MB-8085,Mick Brown,Consumer,Arkhangelsk,Arkhangel'sk,Russia,0,EMEA,EMEA,2025-07-06
NW-18400,Natalie Webber,Consumer,San Luis Potos�,San Luis Potos�,Mexico,0,LATAM,North,2025-07-06
DV-3465,Dianna Vittorini,Consumer,Namibe,Namibe,Angola,0,Africa,Africa,2025-07-06
TT-21220,Thomas Thornton,Consumer,Virginia Beach,Virginia,United States,23464,US,South,2025-07-06
NP-18685,Nora Pelletier,Home Office,Puebla,Puebla,Mexico,0,LATAM,North,2025-07-06
RP-9855,Roy Phan,Corporate,Riyadh,Ar Riyad,Saudi Arabia,0,EMEA,EMEA,2025-07-06
FC-14335,Fred Chung,Corporate,Hanoi,Th? D� H� N?i,Vietnam,0,APAC,Southeast Asia,2025-07-06
BE-1410,Bobby Elias,Consumer,Dakar,Dakar,Senegal,0,Africa,Africa,2025-07-06
TS-21085,Thais Sissman,Consumer,Aubervilliers,Ile-de-France,France,0,EU,Central,2025-07-06
SP-20860,Sung Pak,Corporate,Murfreesboro,Tennessee,United States,37130,US,South,2025-07-06
TS-11655,Trudy Schmidt,Consumer,Jeddah,Makkah,Saudi Arabia,0,EMEA,EMEA,2025-07-06
RH-19495,Rick Hansen,Consumer,Toulouse,Midi-Pyr�n�es,France,0,EU,Central,2025-07-06
AS-45,Aaron Smayling,Corporate,Bagcilar,Istanbul,Turkey,0,EMEA,EMEA,2025-07-06
CC-12370,Christopher Conant,Consumer,Aulnay-sous-Bois,Ile-de-France,France,0,EU,Central,2025-07-06
EH-3945,Eric Hoffmann,Consumer,Oleksandriya,Kirovohrad,Ukraine,0,EMEA,EMEA,2025-07-06
RA-19915,Russell Applegate,Consumer,Columbus,Indiana,United States,47201,US,Central,2025-07-06
JD-16015,Joy Daniels,Consumer,Chicago,Illinois,United States,60610,US,Central,2025-07-06
KM-6720,Kunst Miller,Consumer,Basra,Al Basrah,Iraq,0,EMEA,EMEA,2025-07-06
MH-8025,Michelle Huthwaite,Consumer,Berrechid,Chaouia-Ouardigha,Morocco,0,Africa,Africa,2025-07-06
CK-12325,Christine Kargatis,Home Office,Troy,Ohio,United States,45373,US,East,2025-07-06
SE-20110,Sanjit Engle,Consumer,Sesto San Giovanni,Lombardy,Italy,0,EU,South,2025-07-06
EK-3795,Eileen Kiefer,Home Office,Dayr az Zawr,Dayr Az Zawr,Syria,0,EMEA,EMEA,2025-07-06
DJ-13420,Denny Joy,Corporate,Meerut,Uttar Pradesh,India,0,APAC,Central Asia,2025-07-06
AG-525,Andy Gerbode,Corporate,East London,Eastern Cape,South Africa,0,Africa,Africa,2025-07-06
AM-360,Alice McCarthy,Corporate,Algiers,Alger,Algeria,0,Africa,Africa,2025-07-06
IM-15055,Ionia McGrath,Consumer,Soyapango,San Salvador,El Salvador,0,LATAM,Central,2025-07-06
